DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT22,2022,45700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT3,2019,47500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT3,2020,45500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT3,2021,48100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT3,2022,53800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT31,2019,46300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT31,2020,44600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT31,2021,47400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT31,2022,51000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT32,2019,52200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT32,2020,50200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT32,2021,52400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT32,2022,60700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT33,2019,46800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT33,2020,44000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT33,2021,44500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT33,2022,51600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT34,2019,47300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT34,2020,45600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT34,2021,51400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT34,2022,59200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE,2019,41700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE,2020,40200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE,2021,43700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE,2022,48100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE1,2019,71700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE1,2020,68000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE1,2021,72900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE1,2022,77900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE10,2019,71700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE10,2020,68000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE10,2021,72900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE10,2022,77900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE2,2019,42200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE2,2020,40800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE2,2021,44800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE2,2022,49400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE21,2019,48900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE21,2020,47600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE21,2021,51300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE21,2022,57700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE22,2019,33500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE22,2020,32300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE22,2021,35400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE22,2022,39300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE23,2019,38200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE23,2020,37100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE23,2021,41200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE23,2022,45700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE24,2019,45100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE24,2020,42700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE24,2021,48200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE24,2022,50600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE25,2019,40400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE25,2020,39300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE25,2021,43000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE25,2022,47500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE3,2019,30900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE3,2020,29800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE3,2021,31800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE3,2022,35500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE31,2019,56100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE31,2020,54700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE31,2021,52800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE31,2022,62100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE32,2019,25900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE32,2020,24800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE32,2021,27100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE32,2022,29700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE33,2019,30500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE33,2020,29200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE33,2021,31900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE33,2022,35400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE34,2019,25600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE34,2020,24700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE34,2021,27400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE34,2022,30400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE35,2019,27600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE35,2020,26900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE35,2021,29500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BE35,2022,32500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG,2019,9200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG,2020,9400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG,2021,11000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG,2022,13300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG3,2019,6700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG3,2020,6700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG3,2021,8100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG3,2022,10300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG31,2019,5500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG31,2020,6000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG31,2021,7200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG31,2022,8800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG32,2019,6300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG32,2020,6500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG32,2021,7700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG32,2022,8900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG33,2019,7500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG33,2020,7500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG33,2021,8600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG33,2022,10300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG34,2019,7000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG34,2020,6700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG34,2021,8600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG34,2022,12400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG4,2019,11700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG4,2020,12100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG4,2021,13700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG4,2022,16200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG41,2019,15100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG41,2020,15400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG41,2021,17900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG41,2022,20800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG42,2019,6500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG42,2020,6900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG42,2021,7300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,BG42,2022,9100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CY,2019,26100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CY,2020,24600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CY,2021,27800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CY,2022,31600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CY0,2019,26100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CY0,2020,24600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CY0,2021,27800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CY0,2022,31600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CY00,2019,26100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CY00,2020,24600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CY00,2021,27800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CY00,2022,31600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ,2019,21700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ,2020,21000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ,2021,23400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ,2022,26700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ0,2019,21700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ0,2020,21000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ0,2021,23400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ0,2022,26700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ01,2019,48000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ01,2020,46300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ01,2021,52600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ01,2022,59400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ02,2019,20500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ02,2020,19000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ02,2021,21100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ02,2022,23800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ03,2019,18300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ03,2020,17800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ03,2021,19700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ03,2022,22200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ04,2019,14900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ04,2020,14200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ04,2021,15700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ04,2022,18500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ05,2019,17800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ05,2020,17500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ05,2021,18900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ05,2022,21200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ06,2019,19700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ06,2020,19600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ06,2021,22100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ06,2022,24800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ07,2019,17400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ07,2020,17000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ07,2021,18800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ07,2022,21300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ08,2019,16900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ08,2020,16000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ08,2021,18100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,CZ08,2022,20900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE,2019,43000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE,2020,42000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE,2021,44900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE,2022,48300,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE1,2019,48800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE1,2020,47000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE1,2021,50600,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE1,2022,54200,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE11,2019,55100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE11,2020,53200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE11,2021,58500,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE11,2022,63300,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE12,2019,47400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE12,2020,45400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE12,2021,48200,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE12,2022,51900,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE13,2019,41200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE13,2020,39500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE13,2021,41400,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE13,2022,43600,p,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE14,2019,46000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE14,2020,44700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE14,2021,47900,p,
