country_region,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
Spain,,2020-04-02,-64.00427519835135,-60.57503590111588,-47.62227298338473
Spain,,2020-04-03,-64.15352454935237,-60.15408726044002,-47.6576742885053
Spain,,2020-04-04,-64.24734553333221,-59.68377193227961,-47.6545150557886
Spain,,2020-04-05,-64.28573133026578,-59.16525528539617,-47.6129801053599
Spain,,2020-04-06,-64.26880297513925,-58.599819138071304,-47.533347004676706
Spain,,2020-04-07,-64.1968078571538,-57.98885772579987,-47.415984506348146
Spain,,2020-04-08,-64.07011774437152,-57.33387321798961,-47.26135062220365
Spain,,2020-04-09,-63.88922634757673,-56.63647080313563,-47.069990345262866
Spain,,2020-04-10,-63.65474643959209,-55.898353364349305,-46.84253303320487
Spain,,2020-04-11,-63.36740654862978,-55.121315769396034,-46.57968946878037
Spain,,2020-04-12,-63.02804724646184,-54.30723880151803,-46.282248614344056
Spain,,2020-04-13,-62.637617054240906,-53.45808275927337,-45.9510740792933
Spain,,2020-04-14,-62.19716799068274,-52.575880755395886,-45.587100320672214
Spain,,2020-04-15,-61.707850789021414,-51.66273174626166,-45.19132859852865
Spain,,2020-04-16,-61.17090981065658,-50.72079332492571,-44.76482270878619
Spain,,2020-04-17,-60.587677684721385,-49.75227431185851,-44.30870451740735
Spain,,2020-04-18,-59.959569703901366,-48.75942717846006,-43.82414932047211
Spain,,2020-04-19,-59.28807800772434,-47.74454033915268,-43.312381055473054
Spain,,2020-04-20,-58.57476558521488,-46.709930348351186,-42.77466738963238
Spain,,2020-04-21,-57.82126012926285,-45.65793403887786,-42.21231471137503
Spain,,2020-04-22,-57.0292477752933,-44.59090063843041,-41.626663051246666
Spain,,2020-04-23,-56.200466756846645,-43.51118390052623,-41.01908095854582
Spain,,2020-04-24,-55.336701010487666,-42.421134285939665,-40.39096035975058
Spain,,2020-04-25,-54.43977376206268,-41.32309123002584,-39.74371142446338
Spain,,2020-04-26,-53.51154112572565,-40.21937553049299,-39.078757464081725
Spain,,2020-04-27,-52.55388574636169,-39.11228188915294,-38.397529887730634
Spain,,2020-04-28,-51.568710515061646,-38.00407163995723,-37.701463239175546
Spain,,2020-04-29,-50.557932386154626,-36.89696569422595,-36.99199033747901
Spain,,2020-04-30,-49.52347632299859,-35.79313773240967,-36.270537543081204
Spain,,2020-05-01,-48.46726939827521,-34.69470767000652,-35.5385201697838
Spain,,2020-05-02,-47.39123507294929,-33.60373542340042,-34.79733806181006
Spain,,2020-05-03,-46.29728767634839,-32.52221499940847,-34.048371353713065
Spain,,2020-05-04,-45.18732710801161,-31.452068930241836,-33.29297642942168
Spain,,2020-05-05,-44.06323378006311,-30.395143073411006,-32.53248209516176
Spain,,2020-05-06,-42.92686381690187,-29.353201793860514,-31.76818597938316
Spain,,2020-05-07,-41.78004452698101,-28.327923543316526,-31.001351171171706
Spain,,2020-05-08,-40.62457015939423,-27.320896849490943,-30.23320310694595
Spain,,2020-05-09,-39.462197955909055,-26.33361672542314,-29.464926713540397
Spain,,2020-05-10,-38.29464450700335,-25.367481506873986,-28.69766381407675
Spain,,2020-05-11,-37.12358241838801,-24.42379012333011,-27.932510801331567
Spain,,2020-05-12,-35.950637292449635,-23.503739805847125,-27.170516581636708
Spain,,2020-05-13,-34.77738502703705,-22.608424232672,-26.412680790708826
Spain,,2020-05-14,-33.60534943205859,-21.738832111353034,-25.65995228120705
Spain,,2020-05-15,-32.43600016246405,-20.895846193881688,-24.91322788027331
Spain,,2020-05-16,-31.27075096437078,-20.08024271932933,-24.17335141382845
Spain,,2020-05-17,-30.11095822936512,-19.292691276452103,-23.441112992986355
Spain,,2020-05-18,-28.957919850380428,-18.53375507685127,-22.71724855661659
Spain,,2020-05-19,-27.812874371028272,-17.803891627502008,-22.002439662839986
Spain,,2020-05-20,-26.677000418847836,-17.103453789809436,-21.297313521087126
Spain,,2020-05-21,-25.55141641164669,-16.432691210823577,-20.602443255291877
Spain,,2020-05-22,-24.437180524938086,-15.791752110849497,-19.918348387835024
Spain,,2020-05-23,-23.33529090744031,-15.180685410430815,-19.24549553299945
Spain,,2020-05-24,-22.24668613069429,-14.599443178565544,-18.58429928795062
Spain,,2020-05-25,-21.17224585807895,-14.047883383036721,-17.935123308615722
Spain,,2020-05-26,-20.112791717858812,-13.525772922905013,-17.29828155730101
Spain,,2020-05-27,-19.069088364385635,-13.032790922518378,-16.674039708460533
Spain,,2020-05-28,-18.041844711192358,-12.568532265841675,-16.062616698707785
Spain,,2020-05-29,-17.03171531946189,-12.132511349495967,-15.464186406943625
Spain,,2020-05-30,-16.039301925219952,-11.724166032618392,-14.878879450355393
Spain,,2020-05-31,-15.065155088587787,-11.34286176150627,-14.306785082020843
Spain,,2020-06-01,-14.10977594852973,-10.987895846987165,-13.747953175920989
Spain,,2020-06-02,-13.173618066738113,-10.658501872555213,-13.202396285324435
Spain,,2020-06-03,-12.257089344606298,-10.353854211526711,-12.670091760746677
Spain,,2020-06-04,-11.360553997642846,-10.073072631787356,-12.150983914005218
Spain,,2020-06-05,-10.48433457216901,-9.815226967123282,-11.644986215279959
Spain,,2020-06-06,-9.628713989709068,-9.579341834639486,-11.151983510541065
Spain,,2020-06-07,-8.793937605121725,-9.364401378365562,-10.671834247217884
Spain,,2020-06-08,-7.980215265221323,-9.169354019820462,-10.204372696544786
Spain,,2020-06-09,-7.187723355392812,-8.993117197048443,-9.74941116162773
Spain,,2020-06-10,-6.416606822504923,-8.834582074437586,-9.30674216092073
Spain,,2020-06-11,-5.666981163264596,-8.692618206483697,-8.87614057747911
Spain,,2020-06-12,-4.938934368023224,-8.566078139556422,-8.45736576505867
Spain,,2020-06-13,-4.232528810934502,-8.453801936653608,-8.050163602851224
Spain,,2020-06-14,-3.547803078266846,-8.3546216110872,-7.6542684913806625
Spain,,2020-06-15,-2.8847737275824437,-8.267365456020048,-7.269405282824197
Spain,,2020-06-16,-2.2434369714041433,-8.190862257763037,-6.895291139764882
Spain,,2020-06-17,-1.6237702798926947,-8.123945381736782,-6.531637317118623
Spain,,2020-06-18,-1.0257338979451274,-8.065456720997078,-6.178150862706783
Spain,,2020-06-19,-0.4492722729941092,-8.014250498211917,-5.834536232659616
Spain,,2020-06-20,0.10568460936747837,-7.969196912953579,-5.5004968185313245
Spain,,2020-06-21,0.6392199839968336,-7.9291856271291845,-5.175736383681891
Spain,,2020-06-22,1.1514291603247084,-7.893129082310073,-4.859960407128947
Spain,,2020-06-23,1.6424184725252235,-7.859965643632416,-4.5528773336934485
Spain,,2020-06-24,2.1123043255607765,-7.828662565824031,-4.254199729851938
Spain,,2020-06-25,2.5612123362691364,-7.798218777761908,-3.963645345264179
Spain,,2020-06-26,2.989276568043458,-7.767667482780308,-3.680938080466068
Spain,,2020-06-27,3.396638857086549,-7.736078572726539,-3.4058088617022815
Spain,,2020-06-28,3.78344822769926,-7.702560854500275,-3.1379964243204475
Spain,,2020-06-29,4.149860393590545,-7.666264088510742,-2.8772480065578474
Spain,,2020-06-30,4.496037341773423,-7.626380839143131,-2.623319955922438
Spain,,2020-07-01,4.822146995237069,-7.582148137941442,-2.375978250702478
Spain,,2020-07-02,5.128362950259865,-7.5328489607887725,-2.1349989394334625
Spain,,2020-07-03,5.414864283950873,-7.477813520898383,-1.900168501407943
Spain,,2020-07-04,5.6818354273765515,-7.416420379920406,-1.67128413153409
Spain,,2020-07-05,5.929466099444336,-7.348097379920001,-1.44815395303349
Spain,,2020-07-06,6.157951296573373,-7.272322399394808,-1.230597161619041
Spain,,2020-07-07,6.367491333083012,-7.188623936873457,-1.0184441049112203
Spain,,2020-07-08,6.558291927170185,-7.09658152597426,-0.8115363009371217
Spain,,2020-07-09,6.730564327324496,-6.995825986105665,-0.6097263996132247
Spain,,2020-07-10,6.884525474043285,-6.886039513259104,-0.4128780911416081
Spain,,2020-07-11,7.020398191754726,-6.766955615582521,-0.22086596525223368
Spain,,2020-07-12,7.1384114059334625,-6.638358898630791,-0.03357532520291262
Spain,,2020-07-13,7.238800380497247,-6.500084705369453,0.14909803959446521
Spain,,2020-07-14,7.321806970702301,-6.352018616162498,0.3272481185156313
Spain,,2020-07-15,7.387679886906772,-6.194095814105549,0.5009589785086824
Spain,,2020-07-16,7.436674964743512,-6.026300321174007,0.6703050930937042
Spain,,2020-07-17,7.469055437432583,-5.848664110744178,0.8353516980599018
Spain,,2020-07-18,7.485092206168212,-5.661266102115343,0.9961551704657405
Spain,,2020-07-19,7.485064104731901,-5.464231042713868,1.1527634276807575
Spain,,2020-07-20,7.469258154710682,-5.257728283699095,1.3052163433494215
Spain,,2020-07-21,7.437969807935124,-5.041970454715458,1.453546177305839
Spain,,2020-07-22,7.391503172993336,-4.817212043548474,1.5977780166219353
Spain,,2020-07-23,7.330171222923055,-4.5837478864447405,1.7379302251292017
Spain,,2020-07-24,7.254295981432182,-4.341911574849075,1.8740148989139152
Spain,,2020-07-25,7.164208685246894,-4.092073784297194,2.0060383254466707
Spain,,2020-07-26,7.060249920434586,-3.8346405311798697,2.1340014441677946
Spain,,2020-07-27,6.942769730794288,-3.5700513630663,2.2579003065097565
Spain,,2020-07-28,6.812127696649515,-3.2987774882406615,2.377726533495076
Spain,,2020-07-29,6.668692982615334,-3.021319850066865,2.4934677692024287
Spain,,2020-07-30,6.512844353143219,-2.7382071517542914,2.6051081285441966
Spain,,2020-07-31,6.344970154871472,-2.449993837050344,2.712628637944594
Spain,,2020-08-01,6.165468265026569,-2.157258032336153,2.816007667648412
Spain,,2020-08-02,5.974746005329231,-1.8605994555490373,2.915221354525741
Spain,,2020-08-03,5.773220021059748,-1.5606372972993394,3.0102440143674047
Spain,,2020-08-04,5.561316125127556,-1.2580080794914765,3.101048542789038
Spain,,2020-08-05,5.339469107172093,-0.9533634966975726,3.1876068039783063
Spain,,2020-08-06,5.108122507893081,-0.6473682454687633,3.269890006629896
Spain,,2020-08-07,4.867728358970725,-0.34069784670297537,3.347869066516151
Spain,,2020-08-08,4.618746889087332,-0.03403646611845618,3.4215149552378152
Spain,,2020-08-09,4.361646196704183,0.2719252621892047,3.49079903478915
Spain,,2020-08-10,4.09690189037832,0.5764924042047002,3.5556933776549227
Spain,,2020-08-11,3.8249966975263714,0.8789678816417151,3.6161710722333544
Spain,,2020-08-12,3.546420042653633,1.178654610041456,3.6722065134494994
Spain,,2020-08-13,3.2616675961697794,1.474857614666253,3.723775678487537
Spain,,2020-08-14,2.971240795004791,1.7668861196231787,3.770856387628705
Spain,,2020-08-15,2.6756463363233465,2.054055605747835,3.8134285502340206
Spain,,2020-08-16,2.375395645710676,2.3356898328773417,3.851474395957942
Spain,,2020-08-17,2.0710043212696334,2.611122822245656,3.884978691320973
Spain,,2020-08-18,1.7629915551278303,2.8797007948438846,3.913928941806172
Spain,,2020-08-19,1.4518795339038204,3.1407840617021243,3.9383155796769267
Spain,,2020-08-20,1.1381928197256583,3.3937488621698417,3.958132137741413
Spain,,2020-08-21,0.8224577134307016,3.6379891463969316,3.9733754093133316
Spain,,2020-08-22,0.5052016016061519,3.8729182983488806,3.98404559463892
Spain,,2020-08-23,0.18695228915237183,4.09797079582683,3.9901464340772925
Spain,,2020-08-24,-0.13176268093066684,4.3126038041058194,3.991685328335144
Spain,,2020-08-25,-0.4504167188225181,4.516298699953845,3.9886734460679505
Spain,,2020-08-26,-0.7684848885082742,4.708562522948849,3.981125819168434
Spain,,2020-08-27,-1.0854446160320883,4.888929351171438,3.9690614260693295
Spain,,2020-08-28,-1.4007764036610164,5.056961598517773,3.9525032633917836
Spain,,2020-08-29,-1.7139645482503199,5.212251231048823,3.9314784062731585
Spain,,2020-08-30,-2.024497862111938,5.354420899970062,3.906018057708908
Spain,,2020-08-31,-2.331870394703999,5.483124989018433,3.876157587242687
Spain,,2020-09-01,-2.6355821534771064,5.598050574221334,3.841936559337186
Spain,,2020-09-02,-2.935139822236059,5.69891829418541,3.8033987517554992
Spain,,2020-09-03,-3.230057475399861,5.785483129269954,3.760592164279329
Spain,,2020-09-04,-3.519857286571616,5.857535088201568,3.713569018086112
Spain,,2020-09-05,-3.8040702298595472,5.914899800891874,3.6623857461024283
Spain,,2020-09-06,-4.082236772424133,5.957439016429032,3.6071029746458954
Spain,,2020-09-07,-4.353907556760679,5.985051005425763,3.5477854966622018
Spain,,2020-09-08,-4.618644071264649,5.997670866120978,3.48450223685838
Spain,,2020-09-09,-4.876019307665546,5.995270733848969,3.417326209027474
Spain,,2020-09-10,-5.125618403956447,5.97785989370845,3.346334465854002
Spain,,2020-09-11,-5.367039271488865,5.945484796483349,3.2716080414837383
Spain,,2020-09-12,-5.599893204946267,5.898228978087622,3.1932318871356182
Spain,,2020-09-13,-5.8238054739556375,5.836212883026867,3.111294800027942
Spain,,2020-09-14,-6.038415895142607,5.7595935925896535,3.0258893458855933
Spain,,2020-09-15,-6.2433793834842035,5.668564458700813,2.937111775289773
Spain,,2020-09-16,-6.438366481861729,5.5633546445868625,2.8450619341266936
Spain,,2020-09-17,-6.623063867766876,5.44422857361953,2.749843168386929
Spain,,2020-09-18,-6.797174836164603,5.311485287916941,2.6515622235625784
Spain,,2020-09-19,-6.96041975756862,5.165457718492202,2.5503291388851728
Spain,,2020-09-20,-7.11253651043738,5.006511868945993,2.446257136643248
Spain,,2020-09-21,-7.25328088705223,4.835045914902458,2.339462506814849
Spain,,2020-09-22,-7.3824269720927775,4.651489221585403,2.2300644872466573
Spain,,2020-09-23,-7.4997674931793945,4.456301282124969,2.1181851396084475
Spain,,2020-09-24,-7.605114142707317,4.249970579371632,2.003949221348438
Spain,,2020-09-25,-7.698297870352497,4.033013374175524,1.8874840538725153
Spain,,2020-09-26,-7.779169145684717,3.8059724232632894,1.7689193871677955
Spain,,2020-09-27,-7.84759819037984,3.5694156300114446,1.6483872610887003
Spain,,2020-09-28,-7.903475179578946,3.323934631575148,1.526021863521658
Spain,,2020-09-29,-7.946710411998847,3.070143325982236,1.4019593856426193
Spain,,2020-09-30,-7.977234448454711,2.808676342945668,1.276337874479816
Spain,,2020-10-01,-7.994998218512312,2.540187462281678,1.1492970829925793
Spain,,2020-10-02,-7.999973095043804,2.265347983945584,1.02097831787553
Spain,,2020-10-03,-7.992150936517525,1.9848450538131004,0.8915242852960454
Spain,,2020-10-04,-7.971544096908569,1.6993799494400361,0.7610789347716006
Spain,,2020-10-05,-7.938185403173046,1.409666330128983,0.6297873013923049
Spain,,2020-10-06,-7.892128100284778,1.1164284557165702,0.49779534659281105
Spain,,2020-10-07,-7.833445763888742,0.8203993785687987,0.36524979767643484
Spain,,2020-10-08,-7.762232180680582,0.5223191133359596,0.23229798629341303
Spain,,2020-10-09,-7.67860119667635,0.2229327890704344,0.09908768607381181
Spain,,2020-10-10,-7.582686533590527,-0.07701121164781578,-0.034233050385436045
Spain,,2020-10-11,-7.4746415735941385,-0.3767631219034461,-0.16751605498115135
Spain,,2020-10-12,-7.354639112777385,-0.6755736632629923,-0.3006132078152207
Spain,,2020-10-13,-7.222871083693613,-0.9726959175171239,-0.43337660096095026
Spain,,2020-10-14,-7.079548247412472,-1.2673871926530598,-0.5656587020901895
Spain,,2020-10-15,-6.924899855560887,-1.5589108783781587,-0.6973125177684174
Spain,,2020-10-16,-6.759173282879699,-1.8465382865434259,-0.8281917562265236
Spain,,2020-10-17,-6.582633630872681,-2.1295504718552394,-0.9581509894196713
Spain,,2020-10-18,-6.395563303171763,-2.4072400283136,-1.0870458141853672
Spain,,2020-10-19,-6.198261553289103,-2.6789128568776266,-1.2147330123147384
Spain,,2020-10-20,-5.991044005471268,-2.9438898999316203,-1.3410707093529937
Spain,,2020-10-21,-5.774242149415329,-3.2015088382089543,-1.4659185319471124
Spain,,2020-10-22,-5.548202809648641,-3.451125745926078,-1.5891377635611788
Spain,,2020-10-23,-5.313287590416005,-3.692116699983568,-1.710591498381915
Spain,,2020-10-24,-5.069872296957025,-3.9238793392072053,-1.8301447932397124
Spain,,2020-10-25,-4.818346334095541,-4.145834369727167,-1.947664817372959
Spain,,2020-10-26,-4.559112083099083,-4.357427012728607,-2.0630209998663163
Spain,,2020-10-27,-4.292584257802265,-4.558128390951713,-2.1760851745965066
Spain,,2020-10-28,-4.019189241020849,-4.747436850472369,-2.286731722522281
Spain,,2020-10-29,-3.739364402315788,-4.924879214457182,-2.394837711158432
Spain,,2020-10-30,-3.453557398196258,-5.090011965756619,-2.5002830310771325
Spain,,2020-10-31,-3.1622254558791085,-5.242422355378312,-2.602950529283362
Spain,,2020-11-01,-2.865834641749086,-5.381729434068189,-2.7027261393148803
Spain,,2020-11-02,-2.5648591156882348,-5.507585004419288,-2.7994990079209927
Spain,,2020-11-03,-2.2597803724664502,-5.619674491127189,-2.8931616181783224
Spain,,2020-11-04,-1.951086471405195,-5.717717727215617,-2.983609908905894
Spain,,2020-11-05,-1.639271255546173,-5.801469654265951,-3.0707433902460166
Spain,,2020-11-06,-1.3248335615727813,-5.870720934899611,-3.154465255281942
Spain,,2020-11-07,-1.0082764217479696,-5.925298475981518,-3.234682487567573
Spain,,2020-11-08,-0.6901062591441149,-5.965065861236255,-3.311305964449306
Spain,,2020-11-09,-0.37083207745222896,-5.989923692195005,-3.3842505560647216
Spain,,2020-11-10,-0.05096464666567485,-5.999809836620497,-3.4534352199077447
Spain,,2020-11-11,0.26898431405886697,-5.9946995837886305,-3.518783090854862
Spain,,2020-11-12,0.5885029550567694,-5.974605706238223,-3.580221566552077
Spain,,2020-11-13,0.9070801150173708,-5.939578427834203,-3.637682388067481
Spain,,2020-11-14,1.2242061387431629,-5.889705298223778,-3.6911017157196038
Spain,,2020-11-15,1.539373692497808,-5.825110973999127,-3.740420199997107
Spain,,2020-11-16,1.8520785756392695,-5.74595690711335,-3.7855830474908654
Spain,,2020-11-17,2.161820527239346,-5.652440941328319,-3.8265400817650295
Spain,,2020-11-18,2.4681040263997978,-5.544796817702905,-3.8632457990993316
Spain,,2020-11-19,2.770439084984422,-5.423293590357489,-3.8956594190405855
Spain,,2020-11-20,3.068342031499427,-5.288234953974861,-3.9237449297071283
Spain,,2020-11-21,3.36133628486774,-5.139958484718442,-3.9474711277958074
Spain,,2020-11-22,3.6489531168598615,-4.978834796464859,-3.9668116532469666
Spain,,2020-11-23,3.93073240196129,-4.805266614459933,-3.98174501852889
Spain,,2020-11-24,4.20622335347709,-4.619687768713312,-3.992254632509102
Spain,,2020-11-25,4.474985244696155,-4.422562109647665,-3.9983288188859674
Spain,,2020-11-26,4.7365881139612105,-4.214382348712855,-3.999960829160073
Spain,,2020-11-27,4.990613452516998,-3.9956688268626683,-3.9971488501309524
Spain,,2020-11-28,5.236654874035888,-3.7669682139724383,-3.9898960059107993
Spain,,2020-11-29,5.4743187647502225,-3.528852142448228,-3.978210354452906
Spain,,2020-11-30,5.703224913150981,-3.281915778442742,-3.962104878598666
Spain,,2020-12-01,5.923007118245748,-3.026776334249409,-3.9415974716530773
Spain,,2020-12-02,6.133313775402583,-2.764071525592522,-3.916710917504747
Spain,,2020-12-03,6.333808438842918,-2.494457977669645,-3.887472865312487
Spain,,2020-12-04,6.524170359883288,-2.2186095839302538,-3.853915798786599
Spain,,2020-12-05,6.7040950000651645,-1.9372158216926993,-3.8160770000989865
Spain,,2020-12-06,6.873294518351689,-1.6509800288098584,-3.7739985084621606
Spain,,2020-12-07,7.031498231612197,-1.3606176456905124,-3.7277270734231744
Spain,,2020-12-08,7.178453047657583,-1.0668544270707705,-3.677314102924364
Spain,,2020-12-09,7.31392387013401,-0.7704246280050734,-3.6228156061885888
Spain,,2020-12-10,7.437693974626988,-0.47206916861075005,-3.564292131492436
Spain,,2020-12-11,7.549565355374345,-0.17253378215361598,-3.5018086988965083
Spain,,2020-12-12,7.6493590420332485,0.1274328488969856,-3.4354347280075426
Spain,,2020-12-13,7.7369153859946715,0.4270809641844974,-3.3652439608526
Spain,,2020-12-14,7.812094315787141,0.7256615994756062,-3.2913143799510265
Spain,,2020-12-15,7.874775561161281,1.0224284586809036,-3.2137281216751914
Spain,,2020-12-16,7.924858845496565,1.3166397792063582,-3.1325713849962784
Spain,,2020-12-17,7.962264046222574,1.6075601859736133,-3.047934335716489
Spain,,2020-12-18,7.986931322998032,1.894462529474712,-2.9599110062940754
Spain,,2020-12-19,7.998821213442602,2.176629703267178,-2.8685991913724846
Spain,,2020-12-20,7.997914696268301,2.453356436366756,-2.774100339129708
