fecha,comunidad_autonoma,sexo,grupo_edad,num_casos,num_hosp,num_uci,num_def
2021-09-01,Andalusia,M,0-19,251,20,3,0
2021-09-01,Andalusia,M,20-39,301,33,5,2
2021-09-01,Andalusia,M,40-59,377,52,9,5
2021-09-01,Andalusia,M,60-79,416,70,12,8
2021-09-01,Andalusia,M,80+,656,131,23,17
2021-09-01,Andalusia,F,0-19,145,11,1,0
2021-09-01,Andalusia,F,20-39,207,22,3,1
2021-09-01,Andalusia,F,40-59,267,37,6,3
2021-09-01,Andalusia,F,60-79,381,64,11,7
2021-09-01,Andalusia,F,80+,565,113,20,14
2021-10-01,Andalusia,M,0-19,156,12,2,0
2021-10-01,Andalusia,M,20-39,280,30,5,2
2021-10-01,Andalusia,M,40-59,321,44,7,4
2021-10-01,Andalusia,M,60-79,437,74,13,8
2021-10-01,Andalusia,M,80+,645,129,23,16
2021-10-01,Andalusia,F,0-19,176,14,2,0
2021-10-01,Andalusia,F,20-39,269,29,5,2
2021-10-01,Andalusia,F,40-59,270,37,6,3
2021-10-01,Andalusia,F,60-79,345,58,10,6
2021-10-01,Andalusia,F,80+,496,99,17,12
2021-11-01,Andalusia,M,0-19,215,17,3,0
2021-11-01,Andalusia,M,20-39,302,33,5,2
2021-11-01,Andalusia,M,40-59,323,45,8,4
2021-11-01,Andalusia,M,60-79,478,81,14,9
2021-11-01,Andalusia,M,80+,660,132,23,17
2021-11-01,Andalusia,F,0-19,245,19,3,0
2021-11-01,Andalusia,F,20-39,299,32,5,2
2021-11-01,Andalusia,F,40-59,266,37,6,3
2021-11-01,Andalusia,F,60-79,380,64,11,7
2021-11-01,Andalusia,F,80+,490,98,17,12
2021-12-01,Andalusia,M,0-19,221,17,3,0
2021-12-01,Andalusia,M,20-39,351,38,6,2
2021-12-01,Andalusia,M,40-59,446,62,11,6
2021-12-01,Andalusia,M,60-79,525,89,16,10
2021-12-01,Andalusia,M,80+,732,146,26,19
2021-12-01,Andalusia,F,0-19,131,10,1,0
2021-12-01,Andalusia,F,20-39,274,30,5,2
2021-12-01,Andalusia,F,40-59,303,42,7,4
2021-12-01,Andalusia,F,60-79,431,73,13,8
2021-12-01,Andalusia,F,80+,589,117,21,15
2022-01-01,Andalusia,M,0-19,275,22,3,0
2022-01-01,Andalusia,M,20-39,344,37,6,2
2022-01-01,Andalusia,M,40-59,433,60,10,6
2022-01-01,Andalusia,M,60-79,699,118,21,13
2022-01-01,Andalusia,M,80+,835,167,30,21
2022-01-01,Andalusia,F,0-19,194,15,2,0
2022-01-01,Andalusia,F,20-39,380,41,7,3
2022-01-01,Andalusia,F,40-59,477,66,11,6
2022-01-01,Andalusia,F,60-79,485,82,14,9
2022-01-01,Andalusia,F,80+,704,140,25,18
2022-02-01,Andalusia,M,0-19,322,25,4,0
2022-02-01,Andalusia,M,20-39,497,54,9,3
2022-02-01,Andalusia,M,40-59,504,70,12,7
2022-02-01,Andalusia,M,60-79,705,119,21,14
2022-02-01,Andalusia,M,80+,1003,200,36,26
2022-02-01,Andalusia,F,0-19,268,21,3,0
2022-02-01,Andalusia,F,20-39,353,38,6,2
2022-02-01,Andalusia,F,40-59,433,60,10,6
2022-02-01,Andalusia,F,60-79,541,91,16,10
2022-02-01,Andalusia,F,80+,794,158,28,20
2022-03-01,Andalusia,M,0-19,322,25,4,0
2022-03-01,Andalusia,M,20-39,479,52,9,3
2022-03-01,Andalusia,M,40-59,550,77,13,7
2022-03-01,Andalusia,M,60-79,770,130,23,15
2022-03-01,Andalusia,M,80+,1070,214,38,27
2022-03-01,Andalusia,F,0-19,275,22,3,0
2022-03-01,Andalusia,F,20-39,397,43,7,3
2022-03-01,Andalusia,F,40-59,465,65,11,6
2022-03-01,Andalusia,F,60-79,618,105,18,12
2022-03-01,Andalusia,F,80+,829,165,29,21
2022-04-01,Andalusia,M,0-19,342,27,4,0
2022-04-01,Andalusia,M,20-39,472,51,9,3
2022-04-01,Andalusia,M,40-59,633,88,15,8
2022-04-01,Andalusia,M,60-79,808,137,24,16
2022-04-01,Andalusia,M,80+,1058,211,37,27
2022-04-01,Andalusia,F,0-19,249,19,3,0
2022-04-01,Andalusia,F,20-39,355,39,7,2
2022-04-01,Andalusia,F,40-59,502,70,12,7
2022-04-01,Andalusia,F,60-79,630,107,19,12
2022-04-01,Andalusia,F,80+,870,174,31,22
2022-05-01,Andalusia,M,0-19,269,21,3,0
2022-05-01,Andalusia,M,20-39,488,53,9,3
2022-05-01,Andalusia,M,40-59,566,79,14,7
2022-05-01,Andalusia,M,60-79,703,119,21,14
2022-05-01,Andalusia,M,80+,998,199,35,25
2022-05-01,Andalusia,F,0-19,271,21,3,0
2022-05-01,Andalusia,F,20-39,378,41,7,3
2022-05-01,Andalusia,F,40-59,443,62,11,6
2022-05-01,Andalusia,F,60-79,599,101,18,11
2022-05-01,Andalusia,F,80+,821,164,29,21
2022-06-01,Andalusia,M,0-19,312,24,4,0
2022-06-01,Andalusia,M,20-39,484,53,9,3
2022-06-01,Andalusia,M,40-59,451,63,11,6
2022-06-01,Andalusia,M,60-79,697,118,21,13
2022-06-01,Andalusia,M,80+,974,194,34,25
2022-06-01,Andalusia,F,0-19,261,20,3,0
2022-06-01,Andalusia,F,20-39,349,38,6,2
2022-06-01,Andalusia,F,40-59,379,53,9,5
2022-06-01,Andalusia,F,60-79,586,99,17,11
2022-06-01,Andalusia,F,80+,844,168,30,21
2022-07-01,Andalusia,M,0-19,255,20,3,0
2022-07-01,Andalusia,M,20-39,456,50,9,3
2022-07-01,Andalusia,M,40-59,506,70,12,7
2022-07-01,Andalusia,M,60-79,687,116,20,13
2022-07-01,Andalusia,M,80+,915,183,32,23
2022-07-01,Andalusia,F,0-19,236,18,3,0
2022-07-01,Andalusia,F,20-39,391,43,7,3
2022-07-01,Andalusia,F,40-59,440,61,10,6
2022-07-01,Andalusia,F,60-79,615,104,18,12
2022-07-01,Andalusia,F,80+,810,162,29,21
2022-08-01,Andalusia,M,0-19,322,25,4,0
2022-08-01,Andalusia,M,20-39,493,54,9,3
2022-08-01,Andalusia,M,40-59,542,75,13,7
2022-08-01,Andalusia,M,60-79,731,124,22,14
2022-08-01,Andalusia,M,80+,962,192,34,25
2022-08-01,Andalusia,F,0-19,254,20,3,0
2022-08-01,Andalusia,F,20-39,340,37,6,2
2022-08-01,Andalusia,F,40-59,463,64,11,6
2022-08-01,Andalusia,F,60-79,542,92,16,10
2022-08-01,Andalusia,F,80+,818,163,29,21
2022-09-01,Andalusia,M,0-19,326,26,4,0
2022-09-01,Andalusia,M,20-39,510,56,10,4
2022-09-01,Andalusia,M,40-59,592,82,14,8
2022-09-01,Andalusia,M,60-79,814,138,24,16
2022-09-01,Andalusia,M,80+,1066,213,38,27
2022-09-01,Andalusia,F,0-19,224,17,3,0
2022-09-01,Andalusia,F,20-39,386,42,7,3
2022-09-01,Andalusia,F,40-59,431,60,10,6
2022-09-01,Andalusia,F,60-79,606,103,18,12
2022-09-01,Andalusia,F,80+,900,180,32,23
2022-10-01,Andalusia,M,0-19,385,30,5,0
2022-10-01,Andalusia,M,20-39,503,55,9,4
2022-10-01,Andalusia,M,40-59,598,83,14,8
2022-10-01,Andalusia,M,60-79,839,142,25,16
2022-10-01,Andalusia,M,80+,1116,223,40,29
2022-10-01,Andalusia,F,0-19,280,22,3,0
2022-10-01,Andalusia,F,20-39,438,48,8,3
2022-10-01,Andalusia,F,40-59,549,76,13,7
2022-10-01,Andalusia,F,60-79,704,119,21,14
2022-10-01,Andalusia,F,80+,874,174,31,22
2022-11-01,Andalusia,M,0-19,411,32,5,0
2022-11-01,Andalusia,M,20-39,577,63,11,4
2022-11-01,Andalusia,M,40-59,702,98,17,9
2022-11-01,Andalusia,M,60-79,968,164,29,19
2022-11-01,Andalusia,M,80+,1203,240,43,31
2022-11-01,Andalusia,F,0-19,311,24,4,0
2022-11-01,Andalusia,F,20-39,488,53,9,3
2022-11-01,Andalusia,F,40-59,517,72,12,7
2022-11-01,Andalusia,F,60-79,797,135,24,15
2022-11-01,Andalusia,F,80+,1046,209,37,27
2022-12-01,Andalusia,M,0-19,453,36,6,0
2022-12-01,Andalusia,M,20-39,594,65,11,4
2022-12-01,Andalusia,M,40-59,758,106,19,10
2022-12-01,Andalusia,M,60-79,1011,171,30,20
2022-12-01,Andalusia,M,80+,1353,270,48,35
2022-12-01,Andalusia,F,0-19,357,28,5,0
2022-12-01,Andalusia,F,20-39,508,55,9,4
2022-12-01,Andalusia,F,40-59,575,80,14,8
2022-12-01,Andalusia,F,60-79,796,135,24,15
2022-12-01,Andalusia,F,80+,1097,219,39,28
2023-01-01,Andalusia,M,0-19,447,35,6,0
2023-01-01,Andalusia,M,20-39,652,71,12,5
2023-01-01,Andalusia,M,40-59,714,99,17,9
2023-01-01,Andalusia,M,60-79,991,168,30,19
2023-01-01,Andalusia,M,80+,1413,282,50,36
2023-01-01,Andalusia,F,0-19,334,26,4,0
2023-01-01,Andalusia,F,20-39,484,53,9,3
2023-01-01,Andalusia,F,40-59,616,86,15,8
2023-01-01,Andalusia,F,60-79,839,142,25,16
2023-01-01,Andalusia,F,80+,1120,224,40,29
2023-02-01,Andalusia,M,0-19,459,36,6,0
2023-02-01,Andalusia,M,20-39,624,68,12,4
2023-02-01,Andalusia,M,40-59,743,104,18,10
2023-02-01,Andalusia,M,60-79,974,165,29,19
2023-02-01,Andalusia,M,80+,1387,277,49,36
2023-02-01,Andalusia,F,0-19,336,26,4,0
2023-02-01,Andalusia,F,20-39,429,47,8,3
2023-02-01,Andalusia,F,40-59,636,89,16,8
2023-02-01,Andalusia,F,60-79,770,130,23,15
2023-02-01,Andalusia,F,80+,1081,216,38,28
2023-03-01,Andalusia,M,0-19,419,33,5,0
2023-03-01,Andalusia,M,20-39,495,54,9,3
2023-03-01,Andalusia,M,40-59,614,85,15,8
2023-03-01,Andalusia,M,60-79,821,139,25,16
2023-03-01,Andalusia,M,80+,1172,234,42,30
2023-03-01,Andalusia,F,0-19,324,25,4,0
2023-03-01,Andalusia,F,20-39,460,50,9,3
2023-03-01,Andalusia,F,40-59,542,75,13,7
2023-03-01,Andalusia,F,60-79,669,113,20,13
2023-03-01,Andalusia,F,80+,909,181,32,23
2023-04-01,Andalusia,M,0-19,326,26,4,0
2023-04-01,Andalusia,M,20-39,450,49,8,3
2023-04-01,Andalusia,M,40-59,571,79,14,7
2023-04-01,Andalusia,M,60-79,764,129,23,15
2023-04-01,Andalusia,M,80+,1025,205,36,26
2023-04-01,Andalusia,F,0-19,288,23,4,0
2023-04-01,Andalusia,F,20-39,386,42,7,3
2023-04-01,Andalusia,F,40-59,471,65,11,6
2023-04-01,Andalusia,F,60-79,586,99,17,11
2023-04-01,Andalusia,F,80+,830,166,29,21
2023-05-01,Andalusia,M,0-19,266,21,3,0
2023-05-01,Andalusia,M,20-39,397,43,7,3
2023-05-01,Andalusia,M,40-59,435,60,10,6
2023-05-01,Andalusia,M,60-79,612,104,18,12
2023-05-01,Andalusia,M,80+,812,162,29,21
2023-05-01,Andalusia,F,0-19,210,16,2,0
2023-05-01,Andalusia,F,20-39,330,36,6,2
2023-05-01,Andalusia,F,40-59,306,42,7,4
2023-05-01,Andalusia,F,60-79,449,76,13,8
2023-05-01,Andalusia,F,80+,626,125,22,16
2023-06-01,Andalusia,M,0-19,127,10,1,0
2023-06-01,Andalusia,M,20-39,261,28,5,2
2023-06-01,Andalusia,M,40-59,360,50,9,5
2023-06-01,Andalusia,M,60-79,441,74,13,8
2023-06-01,Andalusia,M,80+,625,125,22,16
2023-06-01,Andalusia,F,0-19,193,15,2,0
2023-06-01,Andalusia,F,20-39,270,29,5,2
2023-06-01,Andalusia,F,40-59,274,38,6,3
2023-06-01,Andalusia,F,60-79,409,69,12,8
2023-06-01,Andalusia,F,80+,509,101,18,13
2023-07-01,Andalusia,M,0-19,114,9,1,0
2023-07-01,Andalusia,M,20-39,181,19,3,1
2023-07-01,Andalusia,M,40-59,195,27,4,2
2023-07-01,Andalusia,M,60-79,292,49,8,5
2023-07-01,Andalusia,M,80+,428,85,15,11
2023-07-01,Andalusia,F,0-19,138,11,1,0
2023-07-01,Andalusia,F,20-39,214,23,4,1
2023-07-01,Andalusia,F,40-59,154,21,3,2
2023-07-01,Andalusia,F,60-79,273,46,8,5
2023-07-01,Andalusia,F,80+,328,65,11,8
2023-08-01,Andalusia,M,0-19,107,8,1,0
2023-08-01,Andalusia,M,20-39,129,14,2,1
2023-08-01,Andalusia,M,40-59,104,14,2,1
2023-08-01,Andalusia,M,60-79,240,40,7,4
2023-08-01,Andalusia,M,80+,274,54,9,7
2023-08-01,Andalusia,F,0-19,60,4,0,0
2023-08-01,Andalusia,F,20-39,76,8,1,0
2023-08-01,Andalusia,F,40-59,110,15,2,1
2023-08-01,Andalusia,F,60-79,186,31,5,3
2023-08-01,Andalusia,F,80+,233,46,8,6
2023-09-01,Andalusia,M,0-19,68,5,0,0
2023-09-01,Andalusia,M,20-39,94,10,1,0
2023-09-01,Andalusia,M,40-59,139,19,3,1
2023-09-01,Andalusia,M,60-79,122,20,3,2
2023-09-01,Andalusia,M,80+,138,27,4,3
2023-09-01,Andalusia,F,0-19,79,6,1,0
2023-09-01,Andalusia,F,20-39,58,6,1,0
2023-09-01,Andalusia,F,40-59,115,16,2,1
2023-09-01,Andalusia,F,60-79,120,20,3,2
2023-09-01,Andalusia,F,80+,145,29,5,3
2023-10-01,Andalusia,M,0-19,44,3,0,0
2023-10-01,Andalusia,M,20-39,107,11,1,0
2023-10-01,Andalusia,M,40-59,120,16,2,1
2023-10-01,Andalusia,M,60-79,80,13,2,1
2023-10-01,Andalusia,M,80+,112,22,3,2
2023-10-01,Andalusia,F,0-19,60,4,0,0
2023-10-01,Andalusia,F,20-39,14,1,0,0
2023-10-01,Andalusia,F,40-59,58,8,1,0
2023-10-01,Andalusia,F,60-79,63,10,1,1
2023-10-01,Andalusia,F,80+,97,19,3,2
2023-11-01,Andalusia,M,0-19,0,0,0,0
2023-11-01,Andalusia,M,20-39,0,0,0,0
2023-11-01,Andalusia,M,40-59,0,0,0,0
2023-11-01,Andalusia,M,60-79,9,1,0,0
2023-11-01,Andalusia,M,80+,45,9,1,1
2023-11-01,Andalusia,F,0-19,6,0,0,0
2023-11-01,Andalusia,F,20-39,80,8,1,0
2023-11-01,Andalusia,F,40-59,59,8,1,0
2023-11-01,Andalusia,F,60-79,6,1,0,0
2023-11-01,Andalusia,F,80+,59,11,1,1
2023-12-01,Andalusia,M,0-19,0,0,0,0
2023-12-01,Andalusia,M,20-39,5,0,0,0
2023-12-01,Andalusia,M,40-59,22,3,0,0
2023-12-01,Andalusia,M,60-79,40,6,1,0
2023-12-01,Andalusia,M,80+,20,4,0,0
2023-12-01,Andalusia,F,0-19,39,3,0,0
2023-12-01,Andalusia,F,20-39,0,0,0,0
2023-12-01,Andalusia,F,40-59,13,1,0,0
2023-12-01,Andalusia,F,60-79,96,16,2,1
2023-12-01,Andalusia,F,80+,31,6,1,0
2024-01-01,Andalusia,M,0-19,47,3,0,0
2024-01-01,Andalusia,M,20-39,9,0,0,0
2024-01-01,Andalusia,M,40-59,25,3,0,0
2024-01-01,Andalusia,M,60-79,9,1,0,0
2024-01-01,Andalusia,M,80+,9,1,0,0
2024-01-01,Andalusia,F,0-19,0,0,0,0
2024-01-01,Andalusia,F,20-39,18,1,0,0
2024-01-01,Andalusia,F,40-59,0,0,0,0
2024-01-01,Andalusia,F,60-79,28,4,0,0
2024-01-01,Andalusia,F,80+,44,8,1,1
2024-02-01,Andalusia,M,0-19,13,1,0,0
2024-02-01,Andalusia,M,20-39,0,0,0,0
2024-02-01,Andalusia,M,40-59,17,2,0,0
2024-02-01,Andalusia,M,60-79,0,0,0,0
2024-02-01,Andalusia,M,80+,34,6,1,0
2024-02-01,Andalusia,F,0-19,0,0,0,0
2024-02-01,Andalusia,F,20-39,0,0,0,0
2024-02-01,Andalusia,F,40-59,0,0,0,0
2024-02-01,Andalusia,F,60-79,0,0,0,0
2024-02-01,Andalusia,F,80+,46,9,1,1
2024-03-01,Andalusia,M,0-19,27,2,0,0
2024-03-01,Andalusia,M,20-39,0,0,0,0
2024-03-01,Andalusia,M,40-59,0,0,0,0
2024-03-01,Andalusia,M,60-79,0,0,0,0
2024-03-01,Andalusia,M,80+,0,0,0,0
2024-03-01,Andalusia,F,0-19,73,5,0,0
2024-03-01,Andalusia,F,20-39,14,1,0,0
2024-03-01,Andalusia,F,40-59,0,0,0,0
2024-03-01,Andalusia,F,60-79,15,2,0,0
2024-03-01,Andalusia,F,80+,0,0,0,0
2024-04-01,Andalusia,M,0-19,0,0,0,0
2024-04-01,Andalusia,M,20-39,3,0,0,0
2024-04-01,Andalusia,M,40-59,0,0,0,0
2024-04-01,Andalusia,M,60-79,24,4,0,0
2024-04-01,Andalusia,M,80+,11,2,0,0
2024-04-01,Andalusia,F,0-19,20,1,0,0
2024-04-01,Andalusia,F,20-39,0,0,0,0
2024-04-01,Andalusia,F,40-59,27,3,0,0
